population,replicate,sim_id,raw_ts,recap_ts,status
CEU,0,9100000,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/CEU/trees/9100000.trees,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/CEU/trees/r9100000.trees,generated
CEU,1,9100001,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/CEU/trees/9100001.trees,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/CEU/trees/r9100001.trees,generated
CEU,2,9100002,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/CEU/trees/9100002.trees,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/CEU/trees/r9100002.trees,generated
CEU,3,9100003,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/CEU/trees/9100003.trees,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/CEU/trees/r9100003.trees,generated
CEU,4,9100004,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/CEU/trees/9100004.trees,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/CEU/trees/r9100004.trees,generated
CEU,5,9100005,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/CEU/trees/9100005.trees,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/CEU/trees/r9100005.trees,generated
CEU,6,9100006,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/CEU/trees/9100006.trees,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/CEU/trees/r9100006.trees,generated
CEU,7,9100007,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/CEU/trees/9100007.trees,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/CEU/trees/r9100007.trees,generated
CEU,8,9100008,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/CEU/trees/9100008.trees,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/CEU/trees/r9100008.trees,generated
CEU,9,9100009,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/CEU/trees/9100009.trees,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/CEU/trees/r9100009.trees,generated
CEU,10,9100010,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/CEU/trees/9100010.trees,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/CEU/trees/r9100010.trees,generated
CEU,11,9100011,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/CEU/trees/9100011.trees,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/CEU/trees/r9100011.trees,generated
CEU,12,9100012,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/CEU/trees/9100012.trees,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/CEU/trees/r9100012.trees,generated
CEU,13,9100013,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/CEU/trees/9100013.trees,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/CEU/trees/r9100013.trees,generated
CEU,14,9100014,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/CEU/trees/9100014.trees,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/CEU/trees/r9100014.trees,generated
CEU,15,9100015,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/CEU/trees/9100015.trees,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/CEU/trees/r9100015.trees,generated
CEU,16,9100016,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/CEU/trees/9100016.trees,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/CEU/trees/r9100016.trees,generated
CEU,17,9100017,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/CEU/trees/9100017.trees,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/CEU/trees/r9100017.trees,generated
CEU,18,9100018,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/CEU/trees/9100018.trees,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/CEU/trees/r9100018.trees,generated
CEU,19,9100019,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/CEU/trees/9100019.trees,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/CEU/trees/r9100019.trees,generated
