population,replicate,sim_id,raw_ts,recap_ts,status
JPT,0,9200000,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/JPT/trees/9200000.trees,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/JPT/trees/r9200000.trees,generated
JPT,1,9200001,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/JPT/trees/9200001.trees,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/JPT/trees/r9200001.trees,generated
JPT,2,9200002,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/JPT/trees/9200002.trees,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/JPT/trees/r9200002.trees,generated
JPT,3,9200003,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/JPT/trees/9200003.trees,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/JPT/trees/r9200003.trees,generated
JPT,4,9200004,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/JPT/trees/9200004.trees,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/JPT/trees/r9200004.trees,generated
JPT,5,9200005,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/JPT/trees/9200005.trees,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/JPT/trees/r9200005.trees,generated
JPT,6,9200006,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/JPT/trees/9200006.trees,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/JPT/trees/r9200006.trees,generated
JPT,7,9200007,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/JPT/trees/9200007.trees,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/JPT/trees/r9200007.trees,generated
JPT,8,9200008,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/JPT/trees/9200008.trees,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/JPT/trees/r9200008.trees,generated
JPT,9,9200009,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/JPT/trees/9200009.trees,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/JPT/trees/r9200009.trees,generated
JPT,10,9200010,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/JPT/trees/9200010.trees,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/JPT/trees/r9200010.trees,generated
JPT,11,9200011,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/JPT/trees/9200011.trees,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/JPT/trees/r9200011.trees,generated
JPT,12,9200012,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/JPT/trees/9200012.trees,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/JPT/trees/r9200012.trees,generated
JPT,13,9200013,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/JPT/trees/9200013.trees,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/JPT/trees/r9200013.trees,generated
JPT,14,9200014,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/JPT/trees/9200014.trees,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/JPT/trees/r9200014.trees,generated
JPT,15,9200015,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/JPT/trees/9200015.trees,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/JPT/trees/r9200015.trees,generated
JPT,16,9200016,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/JPT/trees/9200016.trees,/Users/yagishinnosuke/Documents/2025-2026 Stanford/Palacios Lab/Selective-Sweep-Simulation/1000Genomes/raw_data/data/neutral_slim/JPT/trees/r9200016.trees,generated
