"scenario","file","tree_index","left","right","mid","distance"
"Neutral_latter_half_FW","r3000250",0,0,380,190,4844885.45084952
"Neutral_latter_half_FW","r3000250",1,380,1031,705.5,4143034.76240209
"Neutral_latter_half_FW","r3000250",2,1031,1077,1054,4536568.02093709
"Neutral_latter_half_FW","r3000250",3,1077,1143,1110,4433282.13189626
"Neutral_latter_half_FW","r3000250",4,1143,1193,1168,4835015.67324271
"Neutral_latter_half_FW","r3000250",5,1193,1443,1318,4932480.20645497
"Neutral_latter_half_FW","r3000250",6,1443,1835,1639,4073073.24877941
"Neutral_latter_half_FW","r3000250",7,1835,1881,1858,3912107.84782846
"Neutral_latter_half_FW","r3000250",8,1881,2343,2112,3948993.75998374
"Neutral_latter_half_FW","r3000250",9,2343,2354,2348.5,3953998.29611708
"Neutral_latter_half_FW","r3000250",10,2354,2570,2462,3958285.54502382
"Neutral_latter_half_FW","r3000250",11,2570,2953,2761.5,4130292.81816474
"Neutral_latter_half_FW","r3000250",12,2953,3162,3057.5,4082405.60421997
"Neutral_latter_half_FW","r3000250",13,3162,5056,4109,4139708.27847549
"Neutral_latter_half_FW","r3000250",14,5056,5490,5273,4465095.72658415
"Neutral_latter_half_FW","r3000250",15,5490,5578,5534,4349058.52117198
"Neutral_latter_half_FW","r3000250",16,5578,5594,5586,4251718.48935113
"Neutral_latter_half_FW","r3000250",17,5594,6590,6092,4064841.99691998
"Neutral_latter_half_FW","r3000250",18,6590,7357,6973.5,4125645.64629398
"Neutral_latter_half_FW","r3000250",19,7357,7805,7581,4393472.92991709
"Neutral_latter_half_FW","r3000250",20,7805,7905,7855,4024187.27833251
"Neutral_latter_half_FW","r3000250",21,7905,8856,8380.5,4082377.27850171
"Neutral_latter_half_FW","r3000250",22,8856,8930,8893,4091892.27979465
"Neutral_latter_half_FW","r3000250",23,8930,9232,9081,3784303.19178074
"Neutral_latter_half_FW","r3000250",24,9232,9352,9292,3896470.25713857
"Neutral_latter_half_FW","r3000250",25,9352,9462,9407,3850064.89084781
"Neutral_latter_half_FW","r3000250",26,9462,9866,9664,3889294.34319008
"Neutral_latter_half_FW","r3000250",27,9866,10536,10201,4092543.52009154
"Neutral_latter_half_FW","r3000250",28,10536,11006,10771,3944111.40618815
"Neutral_latter_half_FW","r3000250",29,11006,11765,11385.5,4200181.87596651
"Neutral_latter_half_FW","r3000250",30,11765,11780,11772.5,4262035.82424147
"Neutral_latter_half_FW","r3000250",31,11780,11954,11867,3922526.61889528
"Neutral_latter_half_FW","r3000250",32,11954,12472,12213,3726371.6270966
"Neutral_latter_half_FW","r3000250",33,12472,12492,12482,3821270.83606037
