"scenario","file","tree_index","left","right","mid","distance"
"s=0.02F=0.5","r3020000",0,0,391,195.5,3857226.02397166
"s=0.02F=0.5","r3020000",1,391,1917,1154,3953616.80769987
"s=0.02F=0.5","r3020000",2,1917,2000,1958.5,4007472.82859972
"s=0.02F=0.5","r3020000",3,2000,3220,2610,3961773.32916488
"s=0.02F=0.5","r3020000",4,3220,3320,3270,4176996.54657017
"s=0.02F=0.5","r3020000",5,3320,5392,4356,4734923.34352904
"s=0.02F=0.5","r3020000",6,5392,6055,5723.5,4830866.72957497
"s=0.02F=0.5","r3020000",7,6055,6094,6074.5,4937783.03679053
"s=0.02F=0.5","r3020000",8,6094,7748,6921,4287561.87316791
"s=0.02F=0.5","r3020000",9,7748,8333,8040.5,4286130.99099502
"s=0.02F=0.5","r3020000",10,8333,8478,8405.5,4791013.71255259
"s=0.02F=0.5","r3020000",11,8478,9828,9153,4465511.86683653
"s=0.02F=0.5","r3020000",12,9828,10585,10206.5,3648215.70852814
"s=0.02F=0.5","r3020000",13,10585,11118,10851.5,3641270.97055575
"s=0.02F=0.5","r3020000",14,11118,12557,11837.5,3666343.10405412
"s=0.02F=0.5","r3020000",15,12557,12926,12741.5,4137156.09509838
"s=0.02F=0.5","r3020000",16,12926,13101,13013.5,4136683.52522601
"s=0.02F=0.5","r3020000",17,13101,13131,13116,5527578.91612406
"s=0.02F=0.5","r3020000",18,13131,13493,13312,4737803.23637876
"s=0.02F=0.5","r3020000",19,13493,13706,13599.5,4734365.47984622
"s=0.02F=0.5","r3020000",20,13706,14859,14282.5,4749378.34298963
"s=0.02F=0.5","r3020000",21,14859,14952,14905.5,4562477.72698008
"s=0.02F=0.5","r3020000",22,14952,15400,15176,4542499.45270444
"s=0.02F=0.5","r3020000",23,15400,17219,16309.5,4500191.20233993
"s=0.02F=0.5","r3020000",24,17219,18857,18038,5310877.05273532
"s=0.02F=0.5","r3020000",25,18857,19805,19331,5237880.93728466
"s=0.02F=0.5","r3020000",26,19805,19839,19822,5364687.22869733
"s=0.02F=0.5","r3020000",27,19839,19883,19861,5488069.70007609
"s=0.02F=0.5","r3020000",28,19883,20126,20004.5,5451290.77536797
"s=0.02F=0.5","r3020000",29,20126,20913,20519.5,4965602.48567629
"s=0.02F=0.5","r3020000",30,20913,21310,21111.5,4440634.08837924
"s=0.02F=0.5","r3020000",31,21310,21690,21500,4470277.16228757
"s=0.02F=0.5","r3020000",32,21690,22046,21868,3517117.84237692
"s=0.02F=0.5","r3020000",33,22046,23202,22624,3801870.16132253
"s=0.02F=0.5","r3020000",34,23202,23325,23263.5,3702711.34254062
"s=0.02F=0.5","r3020000",35,23325,23637,23481,3717937.64311813
"s=0.02F=0.5","r3020000",36,23637,24217,23927,3721395.55951864
"s=0.02F=0.5","r3020000",37,24217,24457,24337,3973182.21834705
"s=0.02F=0.5","r3020000",38,24457,24620,24538.5,3977189.16228925
"s=0.02F=0.5","r3020000",39,24620,27355,25987.5,3947712.62823682
"s=0.02F=0.5","r3020000",40,27355,29604,28479.5,3958523.03228361
"s=0.02F=0.5","r3020000",41,29604,29980,29792,4013341.87756188
"s=0.02F=0.5","r3020000",42,29980,30143,30061.5,4381461.55670105
"s=0.02F=0.5","r3020000",43,30143,30362,30252.5,4363988.06205765
"s=0.02F=0.5","r3020000",44,30362,30391,30376.5,4390750.33928153
"s=0.02F=0.5","r3020000",45,30391,30722,30556.5,4320996.19440786
"s=0.02F=0.5","r3020000",46,30722,30746,30734,4617494.3663642
"s=0.02F=0.5","r3020000",47,30746,32872,31809,4926699.11986171
"s=0.02F=0.5","r3020000",48,32872,32883,32877.5,5034667.72820354
"s=0.02F=0.5","r3020000",49,32883,33018,32950.5,5034667.72820354
"s=0.02F=0.5","r3020000",50,33018,33154,33086,6193040.00533652
"s=0.02F=0.5","r3020000",51,33154,33224,33189,6427034.27199558
"s=0.02F=0.5","r3020000",52,33224,33517,33370.5,5828071.98042363
"s=0.02F=0.5","r3020000",53,33517,33536,33526.5,6455770.18974308
"s=0.02F=0.5","r3020000",54,33536,33542,33539,6522071.86315218
"s=0.02F=0.5","r3020000",55,33542,33614,33578,6374954.89150153
"s=0.02F=0.5","r3020000",56,33614,33915,33764.5,6587161.55711125
"s=0.02F=0.5","r3020000",57,33915,34396,34155.5,6733977.52815503
"s=0.02F=0.5","r3020000",58,34396,34527,34461.5,6752400.38355298
"s=0.02F=0.5","r3020000",59,34527,34563,34545,6838555.40239886
"s=0.02F=0.5","r3020000",60,34563,34636,34599.5,6754821.95755204
"s=0.02F=0.5","r3020000",61,34636,34871,34753.5,4482927.42785302
"s=0.02F=0.5","r3020000",62,34871,35403,35137,4856550.5818017
"s=0.02F=0.5","r3020000",63,35403,35578,35490.5,4673626.31040019
"s=0.02F=0.5","r3020000",64,35578,35907,35742.5,4553960.90260369
"s=0.02F=0.5","r3020000",65,35907,35995,35951,4309829.84499376
"s=0.02F=0.5","r3020000",66,35995,36747,36371,4313603.38668997
"s=0.02F=0.5","r3020000",67,36747,36797,36772,4208341.0621301
"s=0.02F=0.5","r3020000",68,36797,36912,36854.5,4687013.0205008
"s=0.02F=0.5","r3020000",69,36912,37893,37402.5,4586789.56431726
"s=0.02F=0.5","r3020000",70,37893,38121,38007,4435283.22919897
"s=0.02F=0.5","r3020000",71,38121,38662,38391.5,4449273.31258808
"s=0.02F=0.5","r3020000",72,38662,39120,38891,4515532.26670548
"s=0.02F=0.5","r3020000",73,39120,39537,39328.5,4832817.82932047
"s=0.02F=0.5","r3020000",74,39537,39842,39689.5,4600375.47739239
"s=0.02F=0.5","r3020000",75,39842,40038,39940,4239813.73539343
"s=0.02F=0.5","r3020000",76,40038,40529,40283.5,4043128.21239013
"s=0.02F=0.5","r3020000",77,40529,41470,40999.5,3991280.31549642
"s=0.02F=0.5","r3020000",78,41470,41540,41505,4280364.24667229
"s=0.02F=0.5","r3020000",79,41540,41612,41576,4477939.49937967
"s=0.02F=0.5","r3020000",80,41612,41624,41618,4476239.44774312
"s=0.02F=0.5","r3020000",81,41624,43445,42534.5,4346502.43541239
"s=0.02F=0.5","r3020000",82,43445,43495,43470,4029333.8839013
"s=0.02F=0.5","r3020000",83,43495,44034,43764.5,3863147.11655563
"s=0.02F=0.5","r3020000",84,44034,44141,44087.5,4189015.20307041
"s=0.02F=0.5","r3020000",85,44141,45005,44573,4208054.39064947
"s=0.02F=0.5","r3020000",86,45005,45572,45288.5,4112266.01494285
"s=0.02F=0.5","r3020000",87,45572,45969,45770.5,5707286.67500266
"s=0.02F=0.5","r3020000",88,45969,46361,46165,6434858.45277439
"s=0.02F=0.5","r3020000",89,46361,46554,46457.5,6407358.03019197
"s=0.02F=0.5","r3020000",90,46554,46934,46744,4954826.6884893
"s=0.02F=0.5","r3020000",91,46934,47990,47462,4892256.68725515
"s=0.02F=0.5","r3020000",92,47990,48593,48291.5,5430093.0323303
"s=0.02F=0.5","r3020000",93,48593,49332,48962.5,5137516.14573641
"s=0.02F=0.5","r3020000",94,49332,49658,49495,5025012.55881315
"s=0.02F=0.5","r3020000",95,49658,50445,50051.5,5263696.24608955
"s=0.02F=0.5","r3020000",96,50445,50470,50457.5,5070696.46577874
"s=0.02F=0.5","r3020000",97,50470,51678,51074,4961608.75443963
"s=0.02F=0.5","r3020000",98,51678,51976,51827,5301622.63992662
"s=0.02F=0.5","r3020000",99,51976,52518,52247,5230714.46771675
"s=0.02F=0.5","r3020000",100,52518,52895,52706.5,5244423.82076925
"s=0.02F=0.5","r3020000",101,52895,52944,52919.5,5276536.56199036
"s=0.02F=0.5","r3020000",102,52944,53099,53021.5,5330664.02087168
"s=0.02F=0.5","r3020000",103,53099,53402,53250.5,5657807.99515327
"s=0.02F=0.5","r3020000",104,53402,53671,53536.5,7345420.16966261
