"scenario","file","tree_index","left","right","mid","distance"
"Neutral_latter_half","r3000250",0,0,380,190,877.522881291188
"Neutral_latter_half","r3000250",1,380,1031,705.5,790.49061105389
"Neutral_latter_half","r3000250",2,1031,1077,1054,789.217858821412
"Neutral_latter_half","r3000250",3,1077,1143,1110,795.218245537545
"Neutral_latter_half","r3000250",4,1143,1193,1168,797.245839261608
"Neutral_latter_half","r3000250",5,1193,1443,1318,838.182358936411
"Neutral_latter_half","r3000250",6,1443,1835,1639,830.936304276958
"Neutral_latter_half","r3000250",7,1835,1881,1858,836.88756300437
"Neutral_latter_half","r3000250",8,1881,2343,2112,836.836590874092
"Neutral_latter_half","r3000250",9,2343,2354,2348.5,818.664992590074
"Neutral_latter_half","r3000250",10,2354,2570,2462,900.078805811942
"Neutral_latter_half","r3000250",11,2570,2953,2761.5,961.788965430346
"Neutral_latter_half","r3000250",12,2953,3162,3057.5,944.625736102639
"Neutral_latter_half","r3000250",13,3162,5056,4109,944.625736102639
"Neutral_latter_half","r3000250",14,5056,5490,5273,953.636721832782
"Neutral_latter_half","r3000250",15,5490,5578,5534,918.881946740533
"Neutral_latter_half","r3000250",16,5578,5594,5586,919.099886881132
"Neutral_latter_half","r3000250",17,5594,6590,6092,950.926712132879
"Neutral_latter_half","r3000250",18,6590,7357,6973.5,941.536151238488
"Neutral_latter_half","r3000250",19,7357,7805,7581,944.24878899211
"Neutral_latter_half","r3000250",20,7805,7905,7855,861.603620323797
"Neutral_latter_half","r3000250",21,7905,8856,8380.5,840.33533908661
"Neutral_latter_half","r3000250",22,8856,8930,8893,840.33533908661
"Neutral_latter_half","r3000250",23,8930,9232,9081,832.922163698363
"Neutral_latter_half","r3000250",24,9232,9352,9292,946.978507134929
"Neutral_latter_half","r3000250",25,9352,9462,9407,941.483727682723
"Neutral_latter_half","r3000250",26,9462,9866,9664,947.880169318307
"Neutral_latter_half","r3000250",27,9866,10536,10201,954.274561454386
"Neutral_latter_half","r3000250",28,10536,11006,10771,998.661444305557
"Neutral_latter_half","r3000250",29,11006,11765,11385.5,991.234732092679
"Neutral_latter_half","r3000250",30,11765,11780,11772.5,991.234732092679
"Neutral_latter_half","r3000250",31,11780,11954,11867,987.027403685963
"Neutral_latter_half","r3000250",32,11954,12472,12213,1021.96358392416
"Neutral_latter_half","r3000250",33,12472,12492,12482,983.508353276468
"Neutral_latter_half","r3000250",34,12492,12581,12536.5,1003.87660911391
"Neutral_latter_half","r3000250",35,12581,12704,12642.5,1003.87660911391
"Neutral_latter_half","r3000250",36,12704,13026,12865,1090.60715628844
"Neutral_latter_half","r3000250",37,13026,13840,13433,1090.60715628844
"Neutral_latter_half","r3000250",38,13840,13953,13896.5,1148.1648395916
"Neutral_latter_half","r3000250",39,13953,14098,14025.5,1148.1648395916
