"scenario","file","tree_index","left","right","mid","distance"
"s=0.001F=0.25","r3100000",0,0,18,9,1093.65654699453
"s=0.001F=0.25","r3100000",1,18,115,66.5,1060.82736400636
"s=0.001F=0.25","r3100000",2,115,141,128,1048.98551954481
"s=0.001F=0.25","r3100000",3,141,505,323,1083.40316672833
"s=0.001F=0.25","r3100000",4,505,726,615.5,1136.79426817732
"s=0.001F=0.25","r3100000",5,726,963,844.5,1147.04764844352
"s=0.001F=0.25","r3100000",6,963,2053,1508,1197.55426409736
"s=0.001F=0.25","r3100000",7,2053,2712,2382.5,1151.85347270527
"s=0.001F=0.25","r3100000",8,2712,3116,2914,1151.85347270527
"s=0.001F=0.25","r3100000",9,3116,4002,3559,1117.54346508535
"s=0.001F=0.25","r3100000",10,4002,4026,4014,1001.06777384226
"s=0.001F=0.25","r3100000",11,4026,4078,4052,949.315482645174
"s=0.001F=0.25","r3100000",12,4078,5517,4797.5,909.613559184409
"s=0.001F=0.25","r3100000",13,5517,6571,6044,923.422159818402
"s=0.001F=0.25","r3100000",14,6571,6840,6705.5,922.105256747433
"s=0.001F=0.25","r3100000",15,6840,7087,6963.5,936.619662883372
"s=0.001F=0.25","r3100000",16,7087,7123,7105,994.197677743223
"s=0.001F=0.25","r3100000",17,7123,7367,7245,1112.19973492265
"s=0.001F=0.25","r3100000",18,7367,7954,7660.5,1139.3737205428
"s=0.001F=0.25","r3100000",19,7954,8003,7978.5,1063.64963098369
"s=0.001F=0.25","r3100000",20,8003,8079,8041,1024.90879631204
"s=0.001F=0.25","r3100000",21,8079,8391,8235,995.624284197159
"s=0.001F=0.25","r3100000",22,8391,8464,8427.5,938.555528244718
"s=0.001F=0.25","r3100000",23,8464,8623,8543.5,853.552329316707
"s=0.001F=0.25","r3100000",24,8623,10387,9505,853.552329316707
"s=0.001F=0.25","r3100000",25,10387,10751,10569,980.954608573915
"s=0.001F=0.25","r3100000",26,10751,12072,11411.5,1029.23950252498
"s=0.001F=0.25","r3100000",27,12072,13753,12912.5,1029.23950252498
"s=0.001F=0.25","r3100000",28,13753,14163,13958,1029.23950252498
"s=0.001F=0.25","r3100000",29,14163,14441,14302,953.46259901401
"s=0.001F=0.25","r3100000",30,14441,15267,14854,962.376137798623
"s=0.001F=0.25","r3100000",31,15267,15512,15389.5,1034.54559482405
"s=0.001F=0.25","r3100000",32,15512,15538,15525,984.043135528645
"s=0.001F=0.25","r3100000",33,15538,15633,15585.5,1058.99201603984
"s=0.001F=0.25","r3100000",34,15633,16030,15831.5,1236.83388482115
"s=0.001F=0.25","r3100000",35,16030,16446,16238,1165.37167056329
"s=0.001F=0.25","r3100000",36,16446,16518,16482,1093.84967122329
"s=0.001F=0.25","r3100000",37,16518,16770,16644,1155.40934362656
"s=0.001F=0.25","r3100000",38,16770,16783,16776.5,1122.44478559214
"s=0.001F=0.25","r3100000",39,16783,16821,16802,1138.89916288837
"s=0.001F=0.25","r3100000",40,16821,17215,17018,1073.75260739393
"s=0.001F=0.25","r3100000",41,17215,17363,17289,1070.74771752283
"s=0.001F=0.25","r3100000",42,17363,17973,17668,1102.9543403366
"s=0.001F=0.25","r3100000",43,17973,18100,18036.5,1158.80718100819
"s=0.001F=0.25","r3100000",44,18100,18133,18116.5,1158.15196564034
"s=0.001F=0.25","r3100000",45,18133,18995,18564,1157.53935536645
"s=0.001F=0.25","r3100000",46,18995,19967,19481,1153.597100149
"s=0.001F=0.25","r3100000",47,19967,20203,20085,1158.58198806012
"s=0.001F=0.25","r3100000",48,20203,20628,20415.5,1158.87140780592
"s=0.001F=0.25","r3100000",49,20628,21039,20833.5,1158.87140780592
"s=0.001F=0.25","r3100000",50,21039,21215,21127,1215.18504834952
"s=0.001F=0.25","r3100000",51,21215,21258,21236.5,1212.31561784382
